Scenario,Perturbation,Latency,Count,Tick
GroupCommunication,"('station3', 0)",88.81091515455724,18.12,46.0
GroupCommunication,"('station3', 1)",94.6854487783436,18.36,146.0
GroupCommunication,"('station3', 2)",111.87131847657584,18.2,246.0
GroupCommunication,"('station3', 3)",69.43541131185262,18.44,346.0
GroupCommunication,"('station3', 4)",41.0750750477742,16.16,446.0
GroupCommunication,"('station3', 5)",43.27481335468796,16.52,546.0
GroupCommunication,"('station3', 6)",41.95252876294672,16.56,646.0
GroupCommunication,"('station3', 7)",42.52641798332387,17.44,746.0
GroupCommunication,"('station3', 8)",44.27574768660992,16.68,846.0
GroupCommunication,"('station3', 9)",44.31878987678988,15.88,946.0
GroupCommunication,"('station3', 10)",44.71003503555267,16.92,1046.0
GroupCommunication,"('station3', 11)",43.36670476464952,17.4,1146.0
GroupCommunication,"('station3', 12)",43.43823701474637,18.44,1246.0
GroupCommunication,"('station3', 13)",45.35660066305571,16.68,1346.0
GroupCommunication,"('station3', 14)",44.979309953354104,17.2,1446.0
GroupCommunication,"('station3', 15)",41.93499992636849,17.84,1546.0
GroupCommunication,"('station3', 16)",42.71050131344404,16.8,1646.0
GroupCommunication,"('station3', 17)",43.59235315070207,17.64,1746.0
GroupCommunication,"('station3', 18)",43.12602122934274,17.2,1846.0
GroupCommunication,"('station3', 19)",25.844715516165962,9.88,1946.0
